# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
an zhuang 	安装	c=3 d=2.66401 t=1092
ba 	吧	c=1 d=0.937067 t=1092
ba 	把	c=4 d=2.91864 t=1092
ban 	办	c=2 d=1.84167 t=1092
ban 	半	c=1 d=0.995012 t=1092
bang wo 	帮我	c=1 d=0.909373 t=1092
bao zhang 	暴涨	c=0 d=0.0895834 t=1092
bao zhang le 	暴涨了	c=1 d=0.900325 t=1092
bao zi 	包子	c=2 d=1.63846 t=1092
bi bei 	必备	c=1 d=1 t=1092
bian cheng 	变成	c=2 d=1.89356 t=1092
bian xie 	编写	c=0 d=0.0951229 t=1092
bie de 	别的	c=1 d=0.852144 t=1092
bing 	并	c=1 d=0.856415 t=1092
bing 	饼	c=1 d=0.960789 t=1092
bing cun 	并存	c=1 d=0.937067 t=1092
bo lang hao 	波浪号	c=1 d=0.970446 t=1092
bu cheng 	不成	c=1 d=0.99005 t=1092
bu chu 	不出	c=0 d=0.0960789 t=1092
bu dui 	不对	c=2 d=1.73629 t=1092
bu dui ma 	不对吗	c=0 d=0.0869358 t=1092
bu guo 	不过	c=1 d=0.941765 t=1092
bu jiao 	补交	c=1 d=0.900325 t=1092
bu lai 	不来	c=0 d=0.088692 t=1092
bu liao 	不了	c=1 d=1 t=1092
bu neng 	不能	c=1 d=0.960789 t=1092
bu shi 	不是	c=2 d=1.67661 t=1092
bu tong 	不同	c=1 d=0.980199 t=1092
bu xing 	不行	c=5 d=3.80388 t=1092
bu xing ma 	不行吗	c=1 d=0.843665 t=1092
bu xu yao 	不需要	c=1 d=0.923116 t=1092
bu zu 	不足	c=1 d=0.970446 t=1092
can kao 	参考	c=2 d=1.64891 t=1092
can shu 	参数	c=1 d=0.965605 t=1092
cang ku 	仓库	c=2 d=1.52752 t=1092
cha kan 	查看	c=1 d=0.97531 t=1092
chang shi 	尝试	c=1 d=0.932394 t=1092
chao 	抄	c=0 d=0.099005 t=1092
