# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	5607
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ai 	唉	c=8 d=2.61297 t=5607
ai 	爱	c=3 d=0.818731 t=5607
ai de 	爱的	c=2 d=1.29459 t=5607
ai ni 	爱你	c=2 d=1.76607 t=5607
ai qing 	爱情	c=1 d=0.275271 t=5607
ai yi 	爱意	c=2 d=0.583434 t=5607
an 	俺	c=2 d=1.10412 t=5607
an ba 	安吧	c=0 d=0.0574072 t=5607
an de 	俺的	c=1 d=0.873716 t=5607
an pai 	安排	c=2 d=1.67623 t=5607
an pai jia 	安排家	c=1 d=0.980199 t=5607
an shui jiao le 	俺睡觉了	c=1 d=0.865022 t=5607
an shuo 	俺说	c=1 d=0.847894 t=5607
an zhao 	按照	c=5 d=2.66953 t=5607
an zhuang 	安装	c=11 d=6.05615 t=5607
ao 	嗷	c=1 d=0.941765 t=5607
ao 	奥	c=2 d=1.84956 t=5607
ba 	吧	c=6 d=2.77757 t=5607
ba 	把	c=20 d=5.26944 t=5607
ba dui ying 	把对应	c=1 d=0.869358 t=5607
ba gu 	八股	c=1 d=0.628135 t=5607
ba ma 	爸妈	c=1 d=0.770192 t=5607
ba ta 	把他	c=4 d=2.4064 t=5607
ba ta men 	把他们	c=1 d=0.970446 t=5607
ba zhe ge 	把这个	c=2 d=1.7357 t=5607
bai du 	百度	c=2 d=0.87211 t=5607
bai piao 	白嫖	c=1 d=1 t=5607
bai se 	百色	c=1 d=0.390628 t=5607
bai zhe qun 	百褶裙	c=1 d=0.806541 t=5607
ban 	办	c=4 d=2.70973 t=5607
ban 	半	c=1 d=0.995012 t=5607
ban 	拌	c=1 d=0.818731 t=5607
ban ben 	版本	c=8 d=5.99414 t=5607
ban ben guan li 	版本管理	c=1 d=0.99005 t=5607
ban ben hao 	版本号	c=2 d=1.82971 t=5607
ban ben ne 	版本呢	c=1 d=0.941765 t=5607
ban dao 	搬到	c=1 d=0.729789 t=5607
bang 	帮	c=0 d=0.0822835 t=5607
bang wo 	帮我	c=6 d=3.91783 t=5607
bang wo xie 	帮我些	c=1 d=0.891366 t=5607
bang zhu 	帮助	c=1 d=0.826959 t=5607
bao 	包	c=2 d=1.71902 t=5607
bao 	宝	c=7 d=2.20382 t=5607
bao bao 	宝宝	c=1 d=0.75594 t=5607
bao bao ni 	抱抱你	c=1 d=0.995012 t=5607
bao bei 	宝贝	c=8 d=3.55026 t=5607
bao cuo 	报错	c=2 d=1.81721 t=5607
bao he shi 	饱和式	c=1 d=0.67032 t=5607
bao nuan 	保暖	c=0 d=0.0904837 t=5607
bao nuan de 	保暖的	c=1 d=0.909373 t=5607
bao zhang 	暴涨	c=0 d=0.0895834 t=5607
bao zhang le 	暴涨了	c=1 d=0.900325 t=5607
bao zi 	包子	c=2 d=1.63846 t=5607
bei 	背	c=1 d=0.66365 t=5607
bei 	被	c=2 d=1.74821 t=5607
bei diao 	背调	c=0 d=0.0802519 t=5607
bei diao yong le 	背调用了	c=1 d=0.806541 t=5607
bei feng le 	被封了	c=1 d=0.559898 t=5607
bei jing 	北京	c=1 d=0.865022 t=5607
bei jing lu 	北京路	c=1 d=0.878095 t=5607
bei ke 	备课	c=1 d=0.514274 t=5607
bei ni 	被你	c=1 d=0.484325 t=5607
bei shang 	悲伤	c=1 d=0.634448 t=5607
bei wo 	被我	c=1 d=0.995012 t=5607
ben di 	本地	c=3 d=2.38329 t=5607
ben di ma 	本地吗	c=1 d=0.895834 t=5607
ben di zhong 	本地中	c=1 d=0.923116 t=5607
ben lai 	本来	c=1 d=0.687289 t=5607
ben ren 	本人	c=1 d=0.726149 t=5607
beng kui 	崩溃	c=1 d=0.847894 t=5607
bi 	比	c=1 d=0.798516 t=5607
bi bei 	必备	c=1 d=1 t=5607
bi jiao 	比较	c=1 d=0.852144 t=5607
bi jing 	毕竟	c=1 d=0.904837 t=5607
